index,dialogue_id,utterance_id,dataset,gold_emotion,nll,in_prompt_sal_sum,in_prompt_sal_gender,frac_sal_in_gender,n_prompt_tokens,n_gender_in_prompt,attrib_method,error
1,51,1,MELD,Joy,0.0762939453125,0.06669583294751646,0.0028038220989401452,0.04203893969127723,259,19,grad,OK
2,170,1,MELD,Surprise,0.07984905689954758,0.06504317133658333,0.001936152475536801,0.029767190555910334,272,19,grad,OK
3,120,17,MELD,Anger,0.014468282461166382,0.00948825880232107,0.00025650509815022815,0.027033948324373325,265,19,grad,OK
4,71,11,MELD,Neutral,0.005330516025424004,0.0041608257307643726,0.00026345497167312715,0.06331795386795222,267,20,grad,OK
5,119,5,MELD,Fear,0.0320558100938797,0.040879606085582054,0.001782116640242748,0.04359427134674098,271,21,grad,OK
6,53,10,MELD,Neutral,0.013051323592662811,0.008703023217776718,0.00034657388528103183,0.03982224068679067,269,19,grad,OK
7,126,4,MELD,Fear,0.00829985924065113,0.005234002855559083,0.0001765041006365209,0.0337225839395663,285,20,grad,OK
8,49,1,MELD,Joy,0.06971044093370438,0.05763380387907091,0.0032405854217358865,0.05622716537217266,259,19,grad,OK
9,144,4,MELD,Anger,0.006816111970692873,0.00404675877405225,0.00016070864285211428,0.03971292874746462,262,19,grad,OK
10,17,17,MELD,Fear,0.08317209035158157,0.15683196863392368,0.008536853958503343,0.05443312376209484,270,20,grad,OK
11,3,5,MELD,Disgust,0.0265476256608963,0.023350078286512144,0.0009655668600316858,0.04135176114546187,267,20,grad,OK
12,34,1,MELD,Disgust,0.059726979583501816,0.048044425255284295,0.001303073044255143,0.02712225273444854,286,20,grad,OK
13,260,8,MELD,Anger,0.03450988605618477,0.03265253201334417,0.0006250565420486964,0.019142666847191313,283,19,grad,OK
14,137,9,MELD,Surprise,0.05439154431223869,0.034098387352059945,0.001580968702910468,0.046364911237216,276,20,grad,OK
15,100,19,MELD,Sadness,0.053632691502571106,0.059703226512283436,0.0018829568834917154,0.03153861178849878,267,19,grad,OK
16,165,3,MELD,Disgust,0.06527769565582275,0.05896439844582346,0.0013350267763598822,0.022641234567779164,278,19,grad,OK
17,85,1,MELD,Surprise,0.22090506553649902,0.17798190537723713,0.0076856699015479535,0.04318231050093538,275,22,grad,OK
18,223,1,MELD,Fear,0.50465989112854,0.7858737100759754,0.020189597475109622,0.025690638605479963,271,19,grad,OK
19,201,2,MELD,Joy,0.05298790708184242,0.034262354241946014,0.0017769990990927909,0.05186447745372041,261,19,grad,OK
20,28,6,MELD,Neutral,0.10910947620868683,0.13565948185350862,0.004587472023558803,0.03381608097628271,263,19,grad,OK
21,88,8,MELD,Sadness,0.055757585912942886,0.0415350716048124,0.0015854435514484067,0.038171200630955734,265,20,grad,OK
22,53,11,MELD,Joy,0.05873849615454674,0.05114930646959692,0.002294099591381382,0.04485104001840166,272,20,grad,OK
23,117,7,MELD,Anger,0.032839514315128326,0.025971139113607933,0.000891044874151703,0.034309040903208896,269,19,grad,OK
24,78,9,MELD,Joy,0.07749296724796295,0.07143012647793512,0.003589489009755198,0.050251752121200526,282,22,grad,OK
